match_id,home,away,market,selection,market_odds,market_implied_probability,model_probability,fair_odds,edge,EV,pit_status,decision,scientific_status
CONMEBOL-SUD-2026-MACARA-SANTOS,Macará,Santos,1X2,HOME,3.1,0.3225806451612903,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-MACARA-SANTOS,Macará,Santos,1X2,DRAW,3.5,0.2857142857142857,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-MACARA-SANTOS,Macará,Santos,1X2,AWAY,2.48,0.40322580645161293,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-OLIMPIA-VASCO,Olimpia,Vasco,1X2,HOME,2.45,0.4081632653061224,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-OLIMPIA-VASCO,Olimpia,Vasco,1X2,DRAW,3.3,0.30303030303030304,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-OLIMPIA-VASCO,Olimpia,Vasco,1X2,AWAY,3.15,0.31746031746031744,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-LIB-2026-LDU-MIRASSOL,LDU Quito,Mirassol,1X2,HOME,1.7,0.5882352941176471,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-LIB-2026-LDU-MIRASSOL,LDU Quito,Mirassol,1X2,DRAW,3.55,0.28169014084507044,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-LIB-2026-LDU-MIRASSOL,LDU Quito,Mirassol,1X2,AWAY,5.25,0.19047619047619047,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-LIB-2026-CORINTHIANS-ROSARIO,Corinthians,Rosario Central,1X2,HOME,1.9,0.5263157894736842,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-LIB-2026-CORINTHIANS-ROSARIO,Corinthians,Rosario Central,1X2,DRAW,3.12,0.3205128205128205,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-LIB-2026-CORINTHIANS-ROSARIO,Corinthians,Rosario Central,1X2,AWAY,4.8,0.20833333333333334,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-BOTAFOGO-CIENCIANO,Botafogo,Cienciano,1X2,HOME,1.27,0.7874015748031495,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-BOTAFOGO-CIENCIANO,Botafogo,Cienciano,1X2,DRAW,8.5,0.11764705882352941,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
CONMEBOL-SUD-2026-BOTAFOGO-CIENCIANO,Botafogo,Cienciano,1X2,AWAY,23.0,0.043478260869565216,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NON_PIT,WAIT,INSUFFICIENT_DATA
