target,model,calibration,n,accuracy,log_loss,brier,ece,mce,roc_auc
btts,logistic,raw,5000,0.5294000000000001,0.692107065815441,0.24943809277496695,0.0477254874332376,0.3193044185920595,0.5413982092311926
cards_high,logistic,raw,5000,0.7006,0.6949174933774893,0.23063834926837176,0.14317570551784736,0.4024182633733938,0.5054901872295041
corners_high,logistic,raw,5000,0.545,0.7727991445277372,0.27997014391175473,0.17053351433332098,0.5660141982109772,0.5348587056799035
home_win,logistic,raw,500,0.608,0.6484103945575382,0.2290623484952929,0.03583513099572529,0.07347179703300244,0.6513890916167956
home_win,logistic,raw_standalone,500,0.608,0.6484103945575382,0.2290623484952929,0.03583513099572529,0.07347179703300244,0.6513890916167956
home_win,logistic,platt,500,0.606,0.6501536331969023,0.2296515471475246,0.05087434402700459,0.19903217481387037,0.6513890916167956
home_win,random_forest,raw_standalone,500,0.604,0.666012891296408,0.236822468686183,0.03583835017579081,0.12661235048358355,0.6217908172367375
home_win,ensemble,raw,500,0.582,0.6663506107614162,0.23764479204775243,0.05453741776852137,0.1550926406833858,0.6135519551079323
home_win,logistic,isotonic,500,0.606,0.6917467628874852,0.2312299589565946,0.04190676239752391,0.21336126921260434,0.6561329246338734
home_win,gradient_boosting,raw_standalone,500,0.554,0.7015415519807298,0.25284612563548714,0.10033635481180705,0.31076891252944006,0.5836130978445969
home_win,hist_gradient_boosting,raw_standalone,500,0.528,0.7093575747938269,0.25605192622987993,0.1353599620305042,0.41907182656632636,0.5769636225044195
over_2_5,logistic,raw,500,0.568,0.6823952721607071,0.24469328527511788,0.0379678759851033,0.19264191643869988,0.5810867059426229
over_2_5,logistic,raw_standalone,500,0.568,0.6823952721607071,0.24469328527511788,0.0379678759851033,0.19264191643869988,0.5810867059426229
over_2_5,logistic,platt,500,0.564,0.6893145976538817,0.24772911704864328,0.05813727835956948,0.23081135859549673,0.5810867059426229
over_2_5,ensemble,raw,500,0.548,0.6930420202078137,0.24970494831033596,0.04806693366659847,0.8041966390036464,0.5572649846311475
over_2_5,random_forest,raw_standalone,500,0.522,0.694588272926941,0.25051191578789395,0.05698163486127662,0.25505826634449824,0.557585169057377
over_2_5,gradient_boosting,raw_standalone,500,0.53,0.6984776272370673,0.2520933079877314,0.055703656889790634,0.5248791344156809,0.5488361296106558
over_2_5,hist_gradient_boosting,raw_standalone,500,0.52,0.7354992802913607,0.26804326811038093,0.10672988968324626,0.4173171065417842,0.5202196465163934
over_2_5,logistic,isotonic,500,0.57,1.230223963032578,0.26209970063960314,0.09769932906216253,0.7964526751012918,0.5804703509221313
shots_high,logistic,raw,5000,0.5006,0.7935964080365607,0.2890027663390491,0.1843671673366901,0.5442704430743024,0.5688793933550549
sot_high,logistic,raw,5000,0.5866,0.7413380454408329,0.2639559012921807,0.1449087821769049,0.39223922979412673,0.5808868702269907
