path,bytes,sha256
.env.example,1296,738935745e76166192a1051e0a0345b51da4d74841d5461570b35bf528a3ef20
.gitignore,78,8329ad6b7b9c14d468c3c1d47f5be90afdff8a8dbb5653c88a1e763c2bf7f7f9
.pytest_cache/.gitignore,37,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd
.pytest_cache/CACHEDIR.TAG,191,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4
.pytest_cache/README.md,302,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad
.pytest_cache/v/cache/nodeids,14505,77dd5b63e4db085c769d15be2195cb6a293c99d667bf3a1504070a0de3faeb65
ACQUISITION_MANIFEST_FINAL.json,942,ea5f505ac4a829afa82b8985c8c1567027b7d96a2911d2e8fdeeae2e141157ad
ARTIFACT_INTEGRITY_REPORT.md,715,b23d9a3b23668897e6e5a031f64982b1afcd08d919e3b5ce638e1d5645016f34
CARD_MARKET_AUDIT.md,1365,c78a2e4d071f9d3c2caf324abbac7e3a55bbc49d1416c644bc5bda6e20e0f9d5
CARD_MARKET_REPORT.md,377,50c8ce08f23e8e0d32e49e0ecda494c03447797d66bd6df2589d6385244366e0
CLV_REPORT.md,158,c73d19a684c06120c187bfe336299cd1299caddeaaf0b41d50868fa1f26ba0e0
COMPETITIVE_MOTIVATION_REPORT.md,232,e470b70543ec5f81812c50e562a7c0c9928838da14612889e6faac9cde0754cc
CONMEBOL_AUDIT.md,781,a1006b156727a1bd6bfa1088a86c0a41ea884297b852599c0d1bb087878226a9
CONMEBOL_DATASET_COVERAGE.csv,914,0c61f3a3221e7a0baeef238811b79392207b33d19e72454ed61ab3f309338aed
CONMEBOL_DATASET_FINAL_REPORT.md,1647,2150b6e6eb8e324cb13dce9f5bb9e33214b0ee775b56573eeb2055656b242d73
CONMEBOL_DATA_DICTIONARY.md,718,e55650f77dfac8c6d5268ea1ea5f0074880532afba27b5a32b419bc6d038e9eb
CONMEBOL_FEATURE_IMPORTANCE.csv,326,956656baadecc7e04b90ab0911fd2be02483166a46b27a87bee69227c2bae4a3
CONMEBOL_HYPOTHESES.csv,520,2fc253f3a8e48a98a282ce77515da01c16315f7138678f27d62ea67b52cd38fd
CONMEBOL_INTERNAL_SHA256SUMS.txt,546,463d4aa52ab331e51cacd18a189522285216b69e91f0fcfc872058e8f350d142
CONMEBOL_MULTIPLE_TESTING.csv,540,4a97e29898f31a0df09ee745a2ce2a37d950cfc36ef10f58fcb2bc260ee85e7b
CONMEBOL_NEGATIVE_RESULTS.csv,461,7f599e7d853a41a8e62041c51c1ec9d6f5f87ee8e22c0e04ec8e94a215042ff5
CONMEBOL_PATTERN_RESULTS.csv,567,b090df0887ad2f0e316f0d9e6df6950061b2bbabef3a1f414d0fa0a003f63b00
CONMEBOL_SEGMENTS.csv,540,4a97e29898f31a0df09ee745a2ce2a37d950cfc36ef10f58fcb2bc260ee85e7b
CONMEBOL_STATISTICAL_RESULTS.json,3516,caaf4c791e4fc7eefe823b904b3a337efcde9c4c457ed94a860074cefaf7ef60
CONMEBOL_TOP_TESTED_PATTERNS.csv,540,5de1f5c463215e4b696b622c23552b1f114db26eef65e4ef2cba5d51332ee283
CONTEXT_INTELLIGENCE_REPORT.md,419,f2d5dffd205d00bd0845c1f35909bb487f440a4c5c2728e56aec3367d00d7154
DATASET_FINAL_COUNTS.json,648,d5aaf162e4533a79253a3fb503a62383a0be1ef639d2b3fe131bf23dc7337bb0
DATA_ACQUISITION_REPORT.md,1111,53a72eb9e46ce4b73cbe9c4bde18d5fffafda53a86d99cd0ac64da36954c2d99
DATA_QUALITY_REPORT.md,463,e8ac78df3caafd96f774c959dff1741e185deda74e53d212d06cdeebb02c5b08
EMPIRICAL_RESEARCH_REPORT.md,1428,cd89ceaf5c19121e2f6697901dd2e3d2d5dd5a2a3b009421be6d76bd6ea7f591
EMPIRICAL_SOURCE_MANIFEST.md,1212,1dad31858aa7c434819c091ddc886b6ee17589037be54b67312846eeff3447b2
EXPANSION_EXECUTION_README.md,762,670061663ff79da4b8cfc485d62ce88a0a072db3f95fcb14929fe00b867db191
